uid,type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
u15,post,4,2,1,4,4,4,1,1,3,4,2,1,1,1,4,4,1,1,4,4
u16,post,3,3,2,4,4,4,2,2,2,3,3,2,2,2,4,4,3,3,4,4
u17,post,3,4,2,4,1,2,1,4,3,4,4,3,4,4,2,4,3,4,4,4
u18,post,2,3,3,2,3,2,4,3,2,2,3,4,4,3,2,1,3,3,1,1
u19,post,2,4,3,2,3,2,2,2,2,3,3,3,3,3,2,2,3,2,3,3
u20,post,4,2,2,4,4,4,2,4,4,3,2,2,2,2,3,3,3,3,4,3
u23,post,3,3,3,2,2,2,2,3,3,3,3,2,3,3,3,3,3,3,3,3
u24,post,3,3,3,3,2,2,2,3,3,2,3,4,4,3,4,2,3,4,3,3
u27,post,3,3,3,3,3,2,3,2,2,3,2,3,3,2,3,2,2,3,3,3
u30,post,4,2,2,4,4,4,1,1,4,4,2,1,1,1,4,4,1,1,4,4
u31,post,3,1,2,4,4,3,1,2,3,3,3,3,1,1,1,2,1,2,2,2
u32,post,4,4,1,4,4,4,1,2,4,4,2,2,1,1,4,4,2,2,4,4
u33,post,4,4,4,3,3,2,4,4,4,2,3,3,4,4,2,2,4,4,3,3
u34,post,4,2,2,4,4,4,1,2,3,4,3,2,3,2,3,3,2,2,4,4
u35,post,4,2,2,3,2,3,3,2,3,2,2,3,1,1,3,3,1,2,4,3
u36,post,4,1,1,3,4,4,1,1,3,3,2,3,2,2,3,3,2,2,4,4
u42,post,4,3,1,4,4,4,1,2,3,4,2,3,2,1,3,3,2,2,4,4
u43,post,3,3,1,4,3,3,3,2,2,4,2,3,3,2,4,4,3,3,4,4
u44,post,3,3,2,3,3,3,2,2,3,3,2,3,2,2,3,3,2,3,3,3
u45,post,4,2,3,2,3,3,2,2,4,2,3,2,2,2,3,2,2,3,3,3
u47,post,4,4,1,4,4,4,1,1,4,4,1,1,1,1,4,4,1,1,4,4
u49,post,3,2,1,4,4,4,1,1,3,4,1,1,1,1,4,4,2,3,4,4
u51,post,3,2,2,4,4,3,1,1,3,3,1,2,2,2,3,3,2,2,3,3
u52,post,4,3,1,4,2,4,1,1,3,4,3,1,1,1,4,3,1,1,4,3
u53,post,4,2,1,4,4,3,1,2,3,4,3,2,2,2,4,3,2,2,4,4
u56,post,3,2,1,3,3,2,2,2,1,3,2,1,2,2,4,4,2,2,4,4
u58,post,4,1,1,1,3,1,2,3,1,3,1,2,4,2,3,4,1,2,3,3
u59,post,4,1,1,3,4,4,1,2,4,4,1,1,2,2,3,3,2,2,4,3
